Номер|Изделие|Страна|Годовая потребность в шт|Номер контракта|Сумма контракта
125896|Цилиндр|Испания|1000|[123, 145, 897]|1500
485214|Двигатель|Германия|4000|[744, 255]|10000
444777|Гайка|Турция|50000|[866, 231]|2000
652001|Фильтр|Китай|3500|[221, 133, 557]|8700
485214|Стекло|Германия|15000|[247, 117]|5600
222879|Стартер|Великобритания|4000|[188, 158, 855]|3500
888774|Синхронизатор|Италия|7000|[184, 214, 478]|7400
774852|Колесо|Турция|16000|[111, 444]|9140
796325|Глушитель|Италия|4000|[852, 178, 888]|2400
444478|Вентилятор|Германия|4000|[336, 145, 447]|4100
